Vendor SKU,Vendor Price,CBUSA SKU,Product Name
8438501,0,54510,1/4 x 12 - 12' Non-Vented CertainTeed FiberTect Soffit Panel - Cedar
,10.23,54511,1/4 x 16 - 12' Non-Vented CertainTeed FiberTect Soffit Panel - Cedar
,0,54512,1/4 x 24 - 12' Non-Vented CertainTeed FiberTect Soffit Panel - Cedar
8047900,11.17,54514,1/4 x 12 - 12' Non-Vented Plycem/Allura FiberTect Soffit Panel - Smooth
,0,54515,1/4 x 16 - 12' Non-Vented Plycem/Allura FiberTect Soffit Panel - Smooth
,0,54516,1/4 x 24 - 12' Non-Vented Plycem/Allura FiberTect Soffit Panel - Smooth
835151,0.77,54625,"1/2 x 5"" Lag Screws"
1450872,21.62,54650,5/8 x 8 - 16' MiraTEC Primed Reversible Trim
1451072,33.21,54652,5/8 x 12 - 16' MiraTEC Primed Reversible Trim
5531200,17.07,54725,"1-1/2"" N10D Joist Hanger Nails - 5lb Box"
835187,0.87,54800,1/2 x 6 Carriage Bolt - Zinc
835188,1.47,54801,1/2 x 8 Carriage Bolt - Zinc
,0,55036,"5/16 x 7-1/4"" - 12' NichiBoard Lap Siding (Primed) - Cedar Textured"
,0,55042,"5/16 x 8-1/4"" - 12' NichiBoard Lap Siding (Primed) - Smooth"
