CBUSA Catalog
Report generated on 7/27/2017

CBUSA SKU,Product Name
11926,5/16 x 4 - 8' HardiePanel Vertical Siding - Cedarmill
11990,5/16 x 7-1/4 - 12' Plycem/Allura  FiberTect Sealed Lap Siding - Cedar
11994,5/16 x 8-1/4 - 12' Plycem/Allura  FiberTect Sealed Lap Siding - Cedar
11995,5/16 x 8-1/4 - 12' Plycem/Allura  FiberTect Sealed Lap Siding - Smooth
11998,5/16 x 5-1/4 - 12' HardiePlank Lap Siding - Select Cedarmill
11999,5/16 x 5-1/4 - 12' HardiePlank Lap Siding - Smooth
12001,5/16 x 6-1/4 - 12' HardiePlank Lap Siding - Smooth
12002,5/16 x 7-1/4 - 12' HardiePlank Lap Siding - Smooth
12004,5/16 x 8-1/4 - 12' HardiePlank Lap Siding - Select Cedarmill
12006,5/16 x 8-1/4 - 12' HardiePlank Lap Siding - Smooth
12023,1/4 x 12 - 12' Non-Vented HardieSoffit Panel - Select Cedarmill
12024,1/4 x 12 - 12' Non-Vented HardieSoffit Panel - Smooth
12025,1/4 x 12 - 12' Vented HardieSoffit Panel - Select Cedarmill
12026,1/4 x 12 - 12' Vented HardieSoffit Panel - Smooth
12027,1/4 x 16 - 12' Non-Vented HardieSoffit Panel - Select Cedarmill
12028,1/4 x 16 - 12' Non-Vented HardieSoffit Panel - Smooth
12029,1/4 x 16 - 12' Vented HardieSoffit Panel - Select Cedarmill
12030,1/4 x 16 - 12' Vented HardieSoffit Panel - Smooth
12031,1/4 x 24 - 8' Non-Vented HardieSoffit Panel - Select Cedarmill
12032,1/4 x 24 - 8' Non-Vented HardieSoffit Panel - Smooth
12033,1/4 x 24 - 8' Vented HardieSoffit Panel - Select Cedarmill
12034,1/4 x 24 - 8' Vented HardieSoffit Panel - Smooth
12035,1/4 x 48 - 8' Non-Vented HardieSoffit Panel - Select Cedarmill
12036,1/4 x 48 - 8' Non-Vented HardieSoffit Panel - Smooth
12100,4/4 x 11-1/4 - 12' HardieTrim  - Smooth
12102,4/4 x 3-1/2 - 12' HardieTrim - Smooth
12104,4/4 x 5-1/2 - 12' HardieTrim - Smooth
12106,4/4 x 7-1/4 - 12' HardieTrim - Smooth
12116,4/4 x 10 - 16' MiraTEC Primed Reversible Trim
12117,4/4 x 12 - 16' MiraTEC Primed Reversible Trim
12118,4/4 x 16 - 16' MiraTEC Primed Reversible Trim
12119,4/4 x 2 - 16' MiraTEC Primed Reversible Trim
12121,4/4 x 4 - 16' MiraTEC Primed Reversible Trim
12122,4/4 x 5 - 16' MiraTEC Primed Reversible Trim
12123,4/4 x 6 - 16' MiraTEC Primed Reversible Trim
12124,4/4 x 8 - 16' MiraTEC Primed Reversible Trim
12125,5/4 x 10 - 16' MiraTEC Primed Reversible Trim
12126,5/4 x 12 - 16' MiraTEC Primed Reversible Trim
12127,5/4 x 16 - 16' MiraTEC Primed Reversible Trim
12129,5/4 x 4 - 16' MiraTEC Primed Reversible Trim
12130,5/4 x 5 - 16' MiraTEC Primed Reversible Trim
12131,5/4 x 6 - 16' MiraTEC Primed Reversible Trim
12132,5/4 x 8 - 16' MiraTEC Primed Reversible Trim
12158,"3-1/2"" x 50' Sill Sealer"
12159,"5-1/2"" x 50' Sill Sealer"
12160,"7-1/2"" x 50' Sill Sealer"
12164,Construction Adhesive - 29oz. Tube
12168,Subfloor Adhesive - 29oz. Tube
12417,1% Calcium Chloride (per 1%)
12420,"Fiber, Mixed in Concrete (per yd.)"
12421,Hot Water (per yd.)
12422,Non Chloride Accelerator (per yd.)
12489,"Expansion Joint - 4"" x 10'"
12492,Sackrete - 80 lbs bags
12497,2500 PSI Concrete - Delivered
12498,3000 PSI Concrete - Delivered
12499,3000 PSI Concrete Pump Mix - Delivered
12500,3500 PSI Concrete - Delivered
12501,4000 PSI Concrete - Delivered
12604,1/2 x 10” Anchor Bolts
12625,"Type ""S"" Mortar Mix - Coosa - 70lb bag"
12878,1 x 4 R/L #3 SYP 
13432,"36"" x 24"" Access Door"
13440,12 x 8 x 8 Half
13441,4 x 8 x 8 Half
13442,6 x 8 x 8 Half
